id,repository,number,kind,state,merged,title,jev_top,p_top,jev_second,p_second
java27,socket.io-client-java,27,issue,closed,False,Cant connect to 192.168.0.100:8006,support_question,0.95,docs_gap,0.04
java28,socket.io-client-java,28,issue,closed,False,Accessing Engine.IO transport from Socket.IO,feature_request,0.88,pr_functional,0.06
java29,socket.io-client-java,29,issue,closed,False,send and receive stream in android,support_question,0.95,feature_request,0.05
java30,socket.io-client-java,30,issue,closed,False,can not receive event by room emit,defect_current,0.72,defect_fixed_or_obsolete,0.19
java31,socket.io-client-java,31,issue,closed,False,id and username attributes,support_question,0.52,feature_request,0.47
java32,socket.io-client-java,32,issue,closed,False,How can I connect to a server with cookie?,support_question,0.93,feature_request,0.05
java33,socket.io-client-java,33,issue,closed,False,Handshake Data,feature_request,0.84,support_question,0.08
java34,socket.io-client-java,34,pr,closed,True,fixed socket destroying if connected is -1,defect_fixed_or_obsolete,0.71,pr_functional,0.26
java35,socket.io-client-java,35,issue,closed,False,Reconnect problem,defect_fixed_or_obsolete,0.45,support_question,0.42
java36,socket.io-client-java,36,issue,closed,False,"No possible to connect or get some error, just 1000+ requests",defect_fixed_or_obsolete,0.7,support_question,0.24
java37,socket.io-client-java,37,issue,closed,False,Listening all events.,feature_request,0.87,support_question,0.12
java38,socket.io-client-java,38,issue,closed,False,Error in Java Project - imported JAR,build_packaging_env,0.95,defect_fixed_or_obsolete,0.03
java39,socket.io-client-java,39,issue,closed,False,second connection in child shell,support_question,0.73,defect_fixed_or_obsolete,0.17
java40,socket.io-client-java,40,issue,closed,False,not support Chinese character  ,defect_fixed_or_obsolete,0.77,defect_current,0.19
java41,socket.io-client-java,41,issue,closed,False,Parser error is occurred while decoding UTF8 in com.github.nkzawa.engineio.parse,defect_fixed_or_obsolete,0.99,support_question,0.01
java42,socket.io-client-java,42,issue,closed,False,emit message & callback methods,support_question,0.84,defect_current,0.1
java43,socket.io-client-java,43,issue,closed,False,Expose socket connection state,duplicate_invalid_spam,0.74,feature_request,0.26
java44,socket.io-client-java,44,issue,closed,False,android mobile Lock screen is disconnect,defect_current,0.48,support_question,0.41
java45,socket.io-client-java,45,issue,closed,False,マルチバイト文字が文字化けする(?),defect_fixed_or_obsolete,0.48,defect_current,0.26
java46,socket.io-client-java,46,issue,closed,False,"Is it possible to execute a callback function in the ""on"" event ?",feature_request,0.7,support_question,0.29
java47,socket.io-client-java,47,issue,closed,False,Error While debugging:,build_packaging_env,0.95,defect_fixed_or_obsolete,0.05
java48,socket.io-client-java,48,issue,closed,False,OnReconnect does not set connected to true on Socket and disconnects from that point stop working,defect_fixed_or_obsolete,0.99,defect_current,0.01
java49,socket.io-client-java,49,issue,closed,False,How to let the client send a callback after receiving a message from the server,support_question,0.72,feature_request,0.25
java50,socket.io-client-java,50,issue,closed,False,How can I connect if client is behind proxy?,support_question,0.99,defect_current,0.01
java51,socket.io-client-java,51,issue,closed,False,Socket.io 0.9.x versions,defect_fixed_or_obsolete,0.57,support_question,0.43
java52,socket.io-client-java,52,issue,closed,False,Handling Connection timeout Error,support_question,0.48,defect_fixed_or_obsolete,0.26
java53,socket.io-client-java,53,issue,closed,False,送信と受信は特定のスレッドに縛られる?,support_question,0.86,defect_fixed_or_obsolete,0.09
java54,socket.io-client-java,54,issue,closed,False,"An error when i use the jar,please help me,thank you!",build_packaging_env,0.86,defect_fixed_or_obsolete,0.11
java55,socket.io-client-java,55,issue,closed,False,"An error when i use the jar in android application,please help me,thank you!",build_packaging_env,0.71,defect_fixed_or_obsolete,0.18000000000000002
java56,socket.io-client-java,56,issue,closed,False,xhr poll error with Socket.io 1.0,defect_fixed_or_obsolete,0.75,support_question,0.16
java57,socket.io-client-java,57,issue,closed,False,How you remove listeners?,support_question,0.98,feature_request,0.02
java58,socket.io-client-java,58,issue,closed,False,Stop trying to reconnect,defect_fixed_or_obsolete,0.99,support_question,0.01
java59,socket.io-client-java,59,issue,closed,False,"Ack Problems, java.lang.IllegalStateException: Not on the main thread",support_question,0.93,defect_fixed_or_obsolete,0.05
java60,socket.io-client-java,60,issue,closed,False,PingInterval / Heartbeat ?,support_question,0.66,feature_request,0.23
java61,socket.io-client-java,61,issue,closed,False,Change Log,docs_gap,0.93,pr_non_functional,0.03
java62,socket.io-client-java,62,issue,closed,False,Binary arguments using emit function w/ Ack,defect_fixed_or_obsolete,0.73,defect_current,0.26
java63,socket.io-client-java,63,pr,closed,True,"Fix #62, binary arguments in emit with ack",defect_fixed_or_obsolete,0.6,pr_functional,0.39
java64,socket.io-client-java,64,issue,closed,False,Implementing Webrtc connection from Chrome to Android,defect_fixed_or_obsolete,0.73,defect_current,0.15000000000000002
java65,socket.io-client-java,65,issue,closed,False,Supporting Stream ?,feature_request,0.99,defect_fixed_or_obsolete,0.01
java66,socket.io-client-java,66,issue,closed,False,A question about Socket.IO-client.java,support_question,1,defect_current,0
java67,socket.io-client-java,67,issue,closed,False,Is possible to get socket identifier?,support_question,0.5,defect_current,0.24
java68,socket.io-client-java,68,issue,closed,False,WebsocketNotConnectedException,defect_fixed_or_obsolete,0.41000000000000003,defect_current,0.39
java69,socket.io-client-java,69,issue,closed,False,WebSocketClient: no such method,build_packaging_env,0.88,defect_fixed_or_obsolete,0.08
java70,socket.io-client-java,70,issue,closed,False,Eclipse instructions?,docs_gap,0.79,build_packaging_env,0.17
java71,socket.io-client-java,71,issue,closed,False,Working with socket.io 1.0.6 ?,support_question,0.57,defect_fixed_or_obsolete,0.39
java72,socket.io-client-java,72,issue,closed,False,Java-WebSocketClient loop endless when disconnect,defect_fixed_or_obsolete,0.53,defect_current,0.28
java73,socket.io-client-java,73,issue,closed,False,Eclipse & JAR import,build_packaging_env,0.85,support_question,0.12
java74,socket.io-client-java,74,issue,closed,False,How to obtain data from Ack() ?,support_question,1,duplicate_invalid_spam,0
java75,socket.io-client-java,75,issue,closed,False,Unable to connect to Server,support_question,0.74,defect_fixed_or_obsolete,0.19
java76,socket.io-client-java,76,issue,closed,False,i want to use this library on windows,build_packaging_env,0.91,support_question,0.05
java77,socket.io-client-java,77,issue,closed,False,Non of the callback methods getting called with a timeout error,support_question,0.69,defect_fixed_or_obsolete,0.21
java78,socket.io-client-java,78,issue,closed,False,Memory Leak: keeping a fragment reference when opening/closing it multiple times,defect_fixed_or_obsolete,0.47000000000000003,support_question,0.38
java79,socket.io-client-java,79,pr,closed,False,ewe,duplicate_invalid_spam,0.95,insufficient_evidence,0.04
java80,socket.io-client-java,80,issue,closed,False,"I use socket.emit in the socket.on()'s context in the serverside using nodejs, but in this situation, mobile can not receive the message from serverside?",support_question,0.98,defect_fixed_or_obsolete,0.02
java81,socket.io-client-java,81,issue,closed,False,Unable to create a connection,support_question,0.81,defect_fixed_or_obsolete,0.13
java82,socket.io-client-java,82,issue,closed,False,"Fatal signal 11 (SIGSEGV), code 1, fault",defect_current,0.68,defect_fixed_or_obsolete,0.2
java83,socket.io-client-java,83,issue,closed,False,Many Socket references when my activity onResume.,support_question,1,duplicate_invalid_spam,0
java84,socket.io-client-java,84,issue,closed,False,Socket.IO-client.java disconnect and reconnect repeatedly,defect_fixed_or_obsolete,0.9,support_question,0.06
java85,socket.io-client-java,85,issue,closed,False,The program not closed after socket.close(),defect_fixed_or_obsolete,1,defect_current,0
java86,socket.io-client-java,86,issue,closed,False,Extra http packets during Ping-Pong?,defect_fixed_or_obsolete,0.41,defect_current,0.28
java87,socket.io-client-java,87,issue,closed,False,"Socket time-outs cause ""ghost"" connection on a reconnect.",defect_fixed_or_obsolete,0.99,defect_current,0.01
java88,socket.io-client-java,88,issue,closed,False,Websocket Upgrade https,defect_current,0.59,defect_fixed_or_obsolete,0.4
java89,socket.io-client-java,89,issue,closed,False,socket.io-client.java couldn't pass ack to socket.io server (v1.3.2),defect_fixed_or_obsolete,0.69,insufficient_evidence,0.15
java90,socket.io-client-java,90,issue,closed,False,Not automatically reconnecting,defect_fixed_or_obsolete,0.42,support_question,0.39
java91,socket.io-client-java,91,issue,closed,False,Emitter.Listener call() async or synchronous? ,support_question,1,defect_current,0
java92,socket.io-client-java,92,issue,closed,False,"""transport close"" fires immediately after there is no network on device",defect_fixed_or_obsolete,0.68,defect_current,0.32
java93,socket.io-client-java,93,issue,closed,False,Socket.io-client using non-daemon threads,feature_request,0.92,defect_current,0.04
java94,socket.io-client-java,94,issue,closed,False,Version change,pr_non_functional,0.4,build_packaging_env,0.3
java95,socket.io-client-java,95,issue,closed,False,ClassCastException when trying to (string)args received,defect_fixed_or_obsolete,0.64,defect_current,0.26
java96,socket.io-client-java,96,issue,closed,False,.emit method,support_question,0.6,insufficient_evidence,0.13
java97,socket.io-client-java,97,issue,closed,False,Namespaces aren't managed on reception,defect_fixed_or_obsolete,0.51,defect_current,0.31
java98,socket.io-client-java,98,issue,closed,False,Issue: emiting json message create ClassCastException:,defect_fixed_or_obsolete,0.63,defect_current,0.34
java99,socket.io-client-java,99,issue,closed,False,Reconnect after EVENT_ERROR,support_question,0.96,insufficient_evidence,0.02
java100,socket.io-client-java,100,issue,closed,False,Socket.io Passport authentication,support_question,0.99,feature_request,0.01
java101,socket.io-client-java,101,issue,closed,False,com.github.nkzawa.engineio.client.EngineIOException: xhr post error,defect_fixed_or_obsolete,0.6900000000000001,defect_current,0.15
java102,socket.io-client-java,102,issue,closed,False,Where is the jar files ?,build_packaging_env,0.51,support_question,0.36
java103,socket.io-client-java,103,issue,closed,False,Could not find method org.java_websocket.client.WebSocketClient,build_packaging_env,0.98,support_question,0.01
java104,socket.io-client-java,104,issue,closed,False,Socket.io thread doesn't kill,defect_current,0.44,support_question,0.36
java105,socket.io-client-java,105,issue,closed,False,JWT authorization,support_question,0.94,feature_request,0.04
java106,socket.io-client-java,106,issue,closed,False,OutOfMemory when I tried to upload video binary string to server,defect_fixed_or_obsolete,0.5,defect_current,0.41
java107,socket.io-client-java,107,issue,closed,False,IllegalArgumentException: delay < 0,defect_current,0.67,defect_fixed_or_obsolete,0.32
java108,socket.io-client-java,108,issue,closed,False,Socket socket=IO.socket(url) crashes application,support_question,0.45,defect_fixed_or_obsolete,0.36
java109,socket.io-client-java,109,issue,closed,False,socket is not disconnecting when network is off.,defect_current,0.9,insufficient_evidence,0.05
java110,socket.io-client-java,110,issue,closed,False,Fatal error: Delay < 0 during reconnect,duplicate_invalid_spam,0.93,defect_fixed_or_obsolete,0.04
java111,socket.io-client-java,111,issue,closed,False,"Ignore, sorry wrong issue",duplicate_invalid_spam,1,defect_current,0
java112,socket.io-client-java,112,issue,closed,False,DexGuard optimization issue,build_packaging_env,0.96,defect_current,0.03
java113,socket.io-client-java,113,issue,closed,False,I met a problem about useing socket.io-client.java to transfer Chinese,defect_fixed_or_obsolete,0.63,support_question,0.2
java114,socket.io-client-java,114,issue,closed,False,Does the server can receive an ack from the client ?,support_question,1,defect_current,0
java115,socket.io-client-java,115,issue,closed,False,client not upgrading to websocket when hitting haproxy(loadbalancer) in front of two socketio servers,defect_fixed_or_obsolete,0.89,defect_current,0.06
java116,socket.io-client-java,116,issue,closed,False,Use upcoming OkHttp 2.3 WebSocket feature,defect_fixed_or_obsolete,0.78,feature_request,0.19
java117,socket.io-client-java,117,issue,closed,False,Passport headers ,support_question,0.99,defect_current,0.01
java118,socket.io-client-java,118,issue,closed,False,How To handle Error for specific emit,support_question,0.74,feature_request,0.21
java119,socket.io-client-java,119,issue,closed,False,StringIndexOutOfBoundsException on Parser$Decoder.decodeString,defect_current,0.58,defect_fixed_or_obsolete,0.24
java120,socket.io-client-java,120,pr,closed,True,Enhance Parser decode,pr_functional,0.69,defect_fixed_or_obsolete,0.27
java121,socket.io-client-java,121,issue,closed,False,Broadcast Messages,support_question,0.81,defect_fixed_or_obsolete,0.13
java122,socket.io-client-java,122,issue,closed,False,It takes client very long time to get connected when using 3G network,defect_current,0.54,support_question,0.2
java123,socket.io-client-java,123,issue,closed,False,disconnecting unexpectedly,duplicate_invalid_spam,0.73,defect_current,0.16
java124,socket.io-client-java,124,issue,closed,False,Use WebSocket transport all times?,support_question,1,defect_current,0
java125,socket.io-client-java,125,issue,closed,False,localhost:port as URI,support_question,0.91,feature_request,0.08
java126,socket.io-client-java,126,issue,closed,False,Unhandled exception thrown when the server sends a Long as Event name,defect_fixed_or_obsolete,0.55,defect_current,0.4
java127,socket.io-client-java,127,issue,closed,False,java.lang.NullPointerException at com.github.nkzawa.socketio.client.Manager$6.call,defect_fixed_or_obsolete,0.71,defect_current,0.25
java128,socket.io-client-java,128,issue,closed,False,Each time connecting socket after disconnects causes incremental instance in socket stack.,support_question,0.47000000000000003,defect_fixed_or_obsolete,0.4
java129,socket.io-client-java,129,issue,closed,False,i can't send(socket.emit) json object android to server side this is my code..,support_question,0.89,defect_fixed_or_obsolete,0.09
java130,socket.io-client-java,130,issue,closed,False,how to used in client side for get and send message ,support_question,1,feature_request,0
java131,socket.io-client-java,131,issue,closed,False,How to destroy socket object,support_question,0.7,defect_fixed_or_obsolete,0.16
java132,socket.io-client-java,132,issue,closed,False,How to fully disconnect from the server?,defect_fixed_or_obsolete,0.72,support_question,0.2
java133,socket.io-client-java,133,issue,closed,False,Socket not connected after RECONNECT,support_question,0.83,defect_fixed_or_obsolete,0.15
java134,socket.io-client-java,134,issue,closed,False,readme needs updated,docs_gap,0.97,duplicate_invalid_spam,0.02
java135,socket.io-client-java,135,issue,closed,False,How can I send extra data while making Socket.connect ?,support_question,1,duplicate_invalid_spam,0
java136,socket.io-client-java,136,issue,closed,False,App crashes after recieving `connect` event.,defect_current,0.58,defect_fixed_or_obsolete,0.29
java137,socket.io-client-java,137,issue,closed,False,Version of Java_Websocket to use,build_packaging_env,0.65,support_question,0.23
java138,socket.io-client-java,138,issue,closed,False,why i can't get the getActivity.runOnUiThread?,support_question,0.93,build_packaging_env,0.05
java139,socket.io-client-java,139,issue,closed,False,socket.connected() method return false even when socket is connected..?,support_question,0.84,docs_gap,0.11
java140,socket.io-client-java,140,issue,closed,False,Emitter listener force close,support_question,0.96,defect_current,0.03
java141,socket.io-client-java,141,issue,closed,False,Sockets sending no response on Lollipop,defect_fixed_or_obsolete,0.32,defect_current,0.31
java142,socket.io-client-java,142,pr,closed,True,add a note about query and forceNew in options,pr_non_functional,0.98,docs_gap,0.02
java143,socket.io-client-java,143,issue,closed,False,Connection timeout,support_question,0.97,defect_fixed_or_obsolete,0.02
java144,socket.io-client-java,144,issue,closed,False,Offical website is OK but localhost not OK,support_question,0.97,defect_fixed_or_obsolete,0.03
java145,socket.io-client-java,145,issue,closed,False,Ping pong question,support_question,0.58,defect_fixed_or_obsolete,0.34
java146,socket.io-client-java,146,issue,closed,False,Question: how to unit test interaction with the socket based on Robolectric?,support_question,1,defect_current,0
java147,socket.io-client-java,147,issue,closed,False,"When Idle for long time, socket gets disconnected but event not received.",defect_fixed_or_obsolete,0.96,defect_current,0.04
java148,socket.io-client-java,148,pr,closed,False,Fixed issue in com.github.nkzawa.engineio.client.Socket$7.call (Socke…,defect_current,0.52,pr_functional,0.27
java149,socket.io-client-java,149,issue,closed,False,Reopen connection,defect_current,0.77,defect_fixed_or_obsolete,0.19
java150,socket.io-client-java,150,issue,closed,False,Not work with okhttp 2.4.0-RC1,defect_fixed_or_obsolete,0.65,defect_current,0.26
java151,socket.io-client-java,151,issue,closed,False,On method is not included,build_packaging_env,0.84,support_question,0.15
java152,socket.io-client-java,152,issue,closed,False,App crash,defect_fixed_or_obsolete,0.87,defect_current,0.13
java153,socket.io-client-java,153,issue,closed,False,NullPointerException: Attempt to invoke interface method 'void com.github.nkzawa.socketio.client.Ack.call(java.lang.Object[])' on a null object reference,defect_current,0.61,defect_fixed_or_obsolete,0.27
java154,socket.io-client-java,154,issue,closed,False,Android: socket.io-client.java version 0.5.0,build_packaging_env,0.92,defect_fixed_or_obsolete,0.04
java155,socket.io-client-java,155,issue,closed,False, App crash onCreate() socket.io-client-0.5.0,build_packaging_env,0.84,defect_fixed_or_obsolete,0.14
java156,socket.io-client-java,156,issue,closed,False,Fix the slowness websocket transport,defect_fixed_or_obsolete,1,defect_current,0
java157,socket.io-client-java,157,issue,closed,False,Connection successfully established with http but failed on https,support_question,0.56,defect_current,0.2
java158,socket.io-client-java,158,issue,closed,False,Socket IO with a sub-directory,support_question,0.92,defect_fixed_or_obsolete,0.08
java159,socket.io-client-java,159,issue,closed,False,NoClassDefFoundError OkHttpClient,build_packaging_env,0.93,defect_fixed_or_obsolete,0.07
java160,socket.io-client-java,160,issue,closed,False,v 0.5.1 not available at mvn repository,defect_fixed_or_obsolete,0.43,support_question,0.26
java161,socket.io-client-java,161,issue,closed,False,xhr post error on slow connection (3G mobile network).,support_question,0.43,defect_current,0.26
java162,socket.io-client-java,162,issue,closed,False,How to produce messages with packet type id like 420,support_question,0.75,defect_fixed_or_obsolete,0.12
java163,socket.io-client-java,163,issue,closed,False,Crash when no connection (Race Condition),defect_fixed_or_obsolete,0.51,defect_current,0.43
java164,socket.io-client-java,164,pr,closed,True,Making the events hash protected in Socket class,pr_functional,0.92,feature_request,0.07
java165,socket.io-client-java,165,issue,closed,False,Instant Crash,support_question,0.5,insufficient_evidence,0.19
java166,socket.io-client-java,166,issue,closed,False,Socket.connect() very slow,support_question,0.9400000000000001,defect_fixed_or_obsolete,0.06
java167,socket.io-client-java,167,issue,closed,False,CPU usage over 40% in service,support_question,0.71,duplicate_invalid_spam,0.18
java168,socket.io-client-java,168,issue,closed,False,How do I retrieve a byte array from a buffer I emitted using socket.io with node.js?,support_question,0.98,insufficient_evidence,0.01
java169,socket.io-client-java,169,issue,closed,False,Cant get any response while running inside AsyncTask,support_question,0.93,insufficient_evidence,0.04
java170,socket.io-client-java,170,issue,closed,False,Socket Connection error,defect_current,0.44,support_question,0.38
java171,socket.io-client-java,171,issue,closed,False,Three connections opened,support_question,0.71,defect_fixed_or_obsolete,0.23
java172,socket.io-client-java,172,issue,closed,False,The manager will create new connections even when it is in Openning state,defect_current,0.57,defect_fixed_or_obsolete,0.41
java173,socket.io-client-java,173,issue,closed,False,[proposal] Merge engine and socket into one library?,feature_request,0.89,insufficient_evidence,0.05
java174,socket.io-client-java,174,issue,closed,False,Why does IO.socket(URI) throw URISyntaxException?,defect_fixed_or_obsolete,0.99,support_question,0.01
java175,socket.io-client-java,175,issue,closed,False,Client sending empty JSONObjects?,support_question,0.52,defect_current,0.41
java176,socket.io-client-java,176,issue,closed,False,The ready state for manager OPENING not cleared in error,defect_current,0.95,defect_fixed_or_obsolete,0.04
java177,socket.io-client-java,177,issue,closed,False,How to enable verbose log for client? ,support_question,1,pr_non_functional,0
java178,socket.io-client-java,178,issue,closed,False,How to setup the local unit test?,docs_gap,0.68,support_question,0.22
java179,socket.io-client-java,179,issue,closed,False,Reconnect,support_question,1,pr_non_functional,0
java180,socket.io-client-java,180,issue,closed,False,java.net.ProtocolException: Expected HTTP 101 response but was '200 OK',support_question,0.94,docs_gap,0.04
java181,socket.io-client-java,181,issue,closed,False,[Question] Does this porting supports room ?,support_question,0.95,feature_request,0.05
java182,socket.io-client-java,182,issue,closed,False,EventThread.exec() run delay problem?,support_question,0.52,duplicate_invalid_spam,0.28
java183,socket.io-client-java,183,issue,closed,False,"listener does not work first, but work after reconnecting",defect_current,0.68,insufficient_evidence,0.19
java184,socket.io-client-java,184,issue,closed,False,Switching from org.json to JSON.simple,build_packaging_env,0.54,feature_request,0.24
java185,socket.io-client-java,185,issue,closed,False,get set-cookie head from 'EVENT_RESPONSE_HEADERS' event,defect_fixed_or_obsolete,1,pr_non_functional,0
java186,socket.io-client-java,186,issue,closed,False,No listening on event,support_question,0.68,defect_current,0.23
java187,socket.io-client-java,187,issue,closed,False,possibility to send cookies,support_question,0.98,feature_request,0.02
java188,socket.io-client-java,188,issue,closed,False,SSL/TLS is 2-3x slower than unsecured connection,defect_current,0.47,support_question,0.42
java189,socket.io-client-java,189,issue,closed,False,Reconnect,support_question,0.61,insufficient_evidence,0.24
java190,socket.io-client-java,190,issue,closed,False,usage with netty-socket-io,support_question,1,pr_non_functional,0
java191,socket.io-client-java,191,issue,closed,False,java.lang.ClassCastException: java.lang.Long cannot be cast to java.lang.Exception,defect_fixed_or_obsolete,0.66,defect_current,0.21
java192,socket.io-client-java,192,issue,closed,False,Issue with com.github.nkzawa.emitter.Emitter ,duplicate_invalid_spam,0.84,defect_fixed_or_obsolete,0.12
java193,socket.io-client-java,193,issue,closed,False,com.github.nkzawa.engineio.client.EngineIOException: xhr post error,defect_current,0.43,defect_fixed_or_obsolete,0.24
java194,socket.io-client-java,194,issue,closed,False, java.lang.NoClassDefFoundError: com.squareup.okhttp.OkHttpClient,build_packaging_env,0.82,defect_fixed_or_obsolete,0.17
java195,socket.io-client-java,195,issue,closed,False,socket.io LINUX TCP,support_question,0.72,defect_current,0.13
java196,socket.io-client-java,196,issue,closed,False,Problems to receive ,support_question,0.88,defect_current,0.07
java197,socket.io-client-java,197,issue,closed,False,"socket io disconnected, but the client didn't know",support_question,0.53,defect_current,0.39
java198,socket.io-client-java,198,issue,closed,False,Initialize socket.io in AndroidStudio,support_question,0.98,docs_gap,0.01
java199,socket.io-client-java,199,issue,closed,False,Can this be used with any implementation of java?,support_question,0.99,defect_fixed_or_obsolete,0.01
java200,socket.io-client-java,200,issue,closed,False,socket.disconnect doesn't close underlying connetions [0.5.1],defect_current,0.53,defect_fixed_or_obsolete,0.45
java201,socket.io-client-java,201,issue,closed,False,setSSLSocketFactory ,feature_request,0.89,support_question,0.09
java202,socket.io-client-java,202,issue,closed,False,How to join a room?,support_question,0.86,feature_request,0.07
java203,socket.io-client-java,203,issue,closed,False,Android App Unable to Connect Node.js server that uses Socket.io,support_question,0.62,insufficient_evidence,0.21
java204,socket.io-client-java,204,issue,closed,False,Send ack message to socket.io server and timeout,feature_request,0.7,support_question,0.27
java205,socket.io-client-java,205,issue,closed,False,Connecting to Socket.IO on a Service,support_question,0.95,docs_gap,0.05
java206,socket.io-client-java,206,pr,closed,True,Change package name,pr_non_functional,0.43,build_packaging_env,0.26
java207,socket.io-client-java,207,issue,closed,False,QUESTION: How to join a room?,support_question,0.97,duplicate_invalid_spam,0.03
java208,socket.io-client-java,208,issue,closed,False,The application may be doing too much work on its main thread.,support_question,0.81,defect_current,0.09
java209,socket.io-client-java,209,issue,closed,False,Socket connection disconnect when running in background service,insufficient_evidence,0.56,support_question,0.2
java210,socket.io-client-java,210,issue,closed,False,socket transports does't upgrade to websocket problem,defect_fixed_or_obsolete,0.45,defect_current,0.39
java211,socket.io-client-java,211,issue,closed,False,websocket doesn't work on proxy/some wifi/devices?,defect_current,0.74,insufficient_evidence,0.13
java212,socket.io-client-java,212,issue,closed,False,updating to 0.6.1 causing 'websocket error' -- SocketTimeoutException,defect_fixed_or_obsolete,0.67,defect_current,0.24
java213,socket.io-client-java,213,issue,closed,False,'disconnect' is not called,support_question,0.62,defect_current,0.31
java214,socket.io-client-java,214,issue,closed,False,Buffer option,feature_request,1,pr_functional,0
java215,socket.io-client-java,215,issue,closed,False,RoboVM java.lang.IllegalArgumentException: unexpected url.,defect_fixed_or_obsolete,0.4,support_question,0.2
java216,socket.io-client-java,216,issue,closed,False,Using socket.io client cause picasso not downloading images,build_packaging_env,0.32,defect_fixed_or_obsolete,0.27
java217,socket.io-client-java,217,issue,closed,False,SocketIO stream support,feature_request,0.99,support_question,0.01
java218,socket.io-client-java,218,issue,closed,False,Send file from Android Device to NodeJs Server,support_question,0.99,feature_request,0.01
java219,socket.io-client-java,219,issue,closed,False,How can i pass my socket object to another activity in android?,support_question,1,duplicate_invalid_spam,0
java220,socket.io-client-java,220,issue,closed,False,Emitter and EventThread not found,build_packaging_env,0.55,support_question,0.34
java221,socket.io-client-java,221,issue,closed,False,QUESTION: have to authenticate socket in every activity?,support_question,0.99,defect_fixed_or_obsolete,0.01
java222,socket.io-client-java,222,issue,closed,False,There's no ability to change conneting url to server(or option value),support_question,0.81,defect_fixed_or_obsolete,0.14
java223,socket.io-client-java,223,issue,closed,False,auto reconnecting fails when socket.connect() is called 2nd time in a background service,support_question,0.59,defect_fixed_or_obsolete,0.32
java224,socket.io-client-java,224,issue,closed,False,0.6.2 unavailable on maven,build_packaging_env,0.72,defect_fixed_or_obsolete,0.25
java225,socket.io-client-java,225,issue,closed,False,Proguard Obfuscation Problem,build_packaging_env,0.93,support_question,0.03
java226,socket.io-client-java,226,issue,closed,False,Headers Authentification,support_question,0.99,docs_gap,0.01
java227,socket.io-client-java,227,issue,closed,False,Socket is automatically disconnected and reconnect repeatedly,build_packaging_env,0.68,defect_current,0.15
