id,topic,title,jev_status,p_status,jev_second,p_second,kotlin_test_quoted,p_tested,priority,priority_score
java606,android,Cleartext HTTP traffic not permitted on android 9,matches_js_client,0.45,already_addressed,0.3,False,0.03,Routine,0.25
java673,android,Docmentation for v1,not_applicable,0.64,matches_js_client,0.27999999999999997,False,0.02,Routine,0.03
java692,android,Whether to support Android 11?,already_addressed,0.33999999999999997,not_applicable,0.33,False,0.03,Routine,0.27
java703,android,sslContext is missing from the options,not_applicable,0.64,already_addressed,0.17,False,0.05,Routine,0.36
java708,android,Different data formats sent by `emit`,already_addressed,0.87,not_applicable,0.06,False,0.04,Routine,0.54
java720,android,Android 11.0 (API30 ) app crashing with error:  java.lang.ArrayIndexOutOfBoundsE,not_applicable,0.6,already_addressed,0.34,False,0.05,Important,0.93
java746,android,Android 13 not available,not_applicable,0.94,insufficient_evidence,0.03,False,0.04,Routine,0.26
java766,android,Android 14 not compatible with version 2.1.0,not_applicable,0.45,already_addressed,0.26,False,0.05,Important,1.19
engine125,api_config,Change HashMap to LinkedHashMap for query parameters,already_addressed,0.95,would_deviate_from_js,0.03,False,0.12,Routine,0.14
engine24,api_config,Fix http headers type,matches_js_client,0.73,already_addressed,0.22,False,0.47,Routine,0.39
engine50,api_config,Is there an API upgrade guide?,already_addressed,0.86,not_applicable,0.07,False,0.39,Routine,0.06
engine82,api_config,Add option to share OkHttpClient,already_addressed,1,not_applicable,0,True,0.74,Routine,0.05
engine92,api_config,update for engine.io-client 1.8.4,already_addressed,1,not_applicable,0,True,0.71,Routine,0.49
forkengine10,api_config,fork change of jaccek/engine.io-client-java,already_addressed,0.98,not_applicable,0.02,False,0.4,Routine,0.58
forkengine3,api_config,fork change of phapntm/engine.io-client-java,already_addressed,0.87,matches_js_client,0.07,False,0.05,Important,0.76
forkjava13,api_config,fork change of ali-heidari/socket.io-client-java,would_deviate_from_js,0.87,matches_js_client,0.1,False,0.03,Routine,0.05
forkjava20,api_config,fork change of arghaffari/socket.io-client-java,not_applicable,0.58,already_addressed,0.22,False,0.03,Routine,0.28
forkjava3,api_config,fork change of RobinPcrd/socket.io-client-java,already_addressed,0.66,matches_js_client,0.17,True,0.91,Routine,0.82
forkjava4,api_config,fork change of sinabolouki/socket.io-client-java,already_addressed,0.88,matches_js_client,0.08,True,0.94,Routine,0.5
forkjava5,api_config,fork change of tchernykh/socket.io-client-java,already_addressed,0.93,matches_js_client,0.04,True,0.92,Routine,0.4
java134,api_config,readme needs updated,already_addressed,0.69,not_applicable,0.18,False,0.04,Routine,0.02
java214,api_config,Buffer option,matches_js_client,0.48,would_deviate_from_js,0.44,False,0.05,Routine,0.13
java237,api_config,"Map<String, List<String>> for header?",already_addressed,0.53,matches_js_client,0.38,False,0.33,Routine,0.1
java240,api_config,parameter in opts.query became null to server,not_applicable,0.57,insufficient_evidence,0.19,False,0.04,Routine,0.36
java282,api_config,Ability to query socket status?,already_addressed,1,matches_js_client,0,True,0.57,Routine,0.02
java304,api_config,Add new SocketOptionBuilder which helps creating IO.Option as builder…,already_addressed,0.57,not_applicable,0.27,False,0.18,Routine,0.07
java366,api_config,"IO.opts missing settings for ""rejectUnauthorized""",would_deviate_from_js,0.72,already_addressed,0.15,False,0.05,Routine,0.55
java37,api_config,Listening all events.,already_addressed,0.99,matches_js_client,0.01,True,0.88,Routine,0.13
java401,api_config,Identify socket from Emitter.Listener callback,matches_js_client,0.71,affected_fix_within_js,0.16,False,0.04,Routine,0.19
java408,api_config,No options for Origin-Header,already_addressed,1,insufficient_evidence,0,True,0.84,Routine,0.14
java416,api_config,socket-io-client-java should support option changes after instantiation,already_addressed,0.8,affected_fix_within_js,0.16,True,0.68,Routine,0.18
java46,api_config,"Is it possible to execute a callback function in the ""on"" event ?",already_addressed,1,insufficient_evidence,0,True,0.86,Routine,0.06
java475,api_config,"No ""Socket.onAny(Event)"" function in Java",already_addressed,1,would_deviate_from_js,0,True,0.92,Routine,0.63
java498,api_config,can't configure logging framework,already_addressed,0.53,would_deviate_from_js,0.43,False,0.47,Routine,0.34
java513,api_config,Cant send query string,already_addressed,0.82,affected_fix_within_js,0.07,True,0.87,Important,0.94
java529,api_config,Add the ability to set Options without recreating socket object,already_addressed,0.42,matches_js_client,0.31,True,0.61,Routine,0.43
java543,api_config,(HTTPLog)-Static: isSBSettingEnabled false Makes com.github.nkzawa.socketio.clie,not_applicable,0.8,insufficient_evidence,0.2,False,0.02,Routine,0.27
java546,api_config,Conflict with Retrofit,insufficient_evidence,0.65,not_applicable,0.35,False,0.02,Routine,0.4
java599,api_config,toString result from org.json is not reliable,already_addressed,0.83,not_applicable,0.17,False,0.04,Routine,0.42
java613,api_config,Add headers to sending pockets,already_addressed,0.53,would_deviate_from_js,0.44,False,0.06,Routine,0.03
java614,api_config,socket.io connection timeout does not working,matches_js_client,0.59,already_addressed,0.22,False,0.14,Important,1
java67,api_config,Is possible to get socket identifier?,already_addressed,1,would_deviate_from_js,0,False,0.27,Routine,0.21
java672,api_config,when the internet connection is turned off / turned on,already_addressed,0.95,would_deviate_from_js,0.04,True,0.58,Important,0.98
java695,api_config,fix: fix emitting of events received during connection establishment,already_addressed,1,not_applicable,0,True,0.62,Important,0.88
java696,api_config,The listener cannot be removed by calling the `off('EVENT')` method,already_addressed,0.93,not_applicable,0.04,True,0.6,Routine,0.29
java7,api_config,How to get connection errors,already_addressed,0.99,affected_fix_within_js,0.01,True,0.58,Routine,0.6
java701,api_config,Missing option in the IO.Options,would_deviate_from_js,0.67,not_applicable,0.17,False,0.07,Routine,0.14
java713,api_config,Client socket.io doesn't receive any messages,insufficient_evidence,0.38,not_applicable,0.28,False,0.16,Important,0.96
java730,api_config,Required onAny Function in Version 1x,already_addressed,0.98,not_applicable,0.02,True,0.71,Routine,0.02
java737,api_config,Cannot interop with server implemented in 'io.socket:socket.io-server:4.0.1',insufficient_evidence,0.3,matches_js_client,0.21,False,0.07,Important,1.25
java755,api_config,Straightforward logging option for Android,would_deviate_from_js,0.55,matches_js_client,0.22,False,0.3,Routine,0.1
java760,api_config,Connection state recovery,already_addressed,0.93,would_deviate_from_js,0.03,True,0.85,Important,0.68
java780,api_config,More control over auth property,already_addressed,0.86,would_deviate_from_js,0.06,True,0.69,Routine,0.49
java789,api_config,feat: auth callback function,already_addressed,0.98,not_applicable,0.01,True,0.92,Routine,0.5
java794,api_config,feat: add connection state recovery and flexible auth,would_deviate_from_js,0.55,already_addressed,0.37,True,0.81,Important,0.96
engine123,engine_transport,Add WebTransport support to Engine.IO Java client,would_deviate_from_js,0.32,not_applicable,0.28,False,0.03,Routine,0.06
engine126,engine_transport,fix: query reorder on WebSocket Transport,already_addressed,0.92,matches_js_client,0.03,False,0.07,Important,0.6
engine14,engine_transport,Replace Java-WebSocket to OkHttp WebSocket,not_applicable,0.59,already_addressed,0.35,False,0.08,Routine,0.17
engine15,engine_transport,Switch to OkHttp 2.3,already_addressed,0.86,not_applicable,0.07,True,0.76,Routine,0.12
engine18,engine_transport,Replace UrlConnection to OkHttpClient,already_addressed,0.77,not_applicable,0.12,True,0.6,Routine,0.17
engine37,engine_transport,Problem with connections through proxy,already_addressed,0.39,insufficient_evidence,0.35000000000000003,False,0.05,Routine,0.43
engine40,engine_transport,okhttp 2.7.0,not_applicable,1,matches_js_client,0,False,0.04,Routine,0.02
engine42,engine_transport,okhttp 3,not_applicable,0.99,already_addressed,0.01,False,0.05,Routine,0.08
engine51,engine_transport,proxy support,already_addressed,0.33999999999999997,insufficient_evidence,0.21,False,0.06,Important,0.75
engine59,engine_transport,Added permessage defalte comperssion,already_addressed,0.95,matches_js_client,0.02,True,0.89,Routine,0.58
engine72,engine_transport,Android connection close every double 'pingInterval' seconds,already_addressed,0.77,matches_js_client,0.11,True,0.78,Important,1
engine76,engine_transport,Failed polling transport kills websocket transport,already_addressed,0.99,affected_fix_within_js,0.01,True,0.91,Important,0.79
engine78,engine_transport,okhttp-ws into okhttp,not_applicable,0.76,already_addressed,0.2,False,0.04,Routine,0.02
engine79,engine_transport,add a keepCookies option to presever cookies across XHR requests,already_addressed,0.63,would_deviate_from_js,0.3,True,0.79,Routine,0.12
engine81,engine_transport,Improper creation of OkHttpClient in Websocket.java probably causing Out Of Memo,already_addressed,0.95,not_applicable,0.03,False,0.13,High,2.13
engine85,engine_transport,Options for inject okhttp Call/WebSocket factory,already_addressed,0.99,matches_js_client,0.01,True,0.84,Important,0.8
engine86,engine_transport,Websocket connection closed with 1001 when high loading (1M messaging),already_addressed,1,not_applicable,0,True,0.79,High,1.98
engine87,engine_transport,allowRequest Error code read from android,already_addressed,0.77,would_deviate_from_js,0.19,True,0.75,Routine,0.6
engine95,engine_transport,Cannot use a custom path,already_addressed,1,affected_fix_within_js,0,True,0.8,Important,0.96
forkengine1,engine_transport,fork change of ParadiseDevTeam/engine.io-client-java,not_applicable,0.76,already_addressed,0.11,False,0.04,Important,1.04
forkengine11,engine_transport,fork change of pfjia/engine.io-client-java,not_applicable,0.75,already_addressed,0.11,False,0.03,Routine,0.41
forkengine12,engine_transport,fork change of alibaba-archive/engine.io-client-java,would_deviate_from_js,0.38,affected_fix_within_js,0.22,False,0.05,Important,1.16
forkengine15,engine_transport,fork change of hiredman/engine.io-client-java,already_addressed,0.91,matches_js_client,0.04,True,0.88,Routine,0.34
forkengine16,engine_transport,fork change of tankcong/engine.io-client-java,would_deviate_from_js,0.63,matches_js_client,0.32,False,0.03,Routine,0.23
forkengine17,engine_transport,fork change of wangwangheng/engine.io-client-java,already_addressed,0.49,affected_fix_within_js,0.34,False,0.03,High,2.22
forkengine18,engine_transport,fork change of jszczygiel/engine.io-client-java,would_deviate_from_js,0.78,not_applicable,0.13,False,0.02,Routine,0.26
forkengine2,engine_transport,fork change of N1k1tung/engine.io-client-java,would_deviate_from_js,0.69,matches_js_client,0.23,False,0.09,Routine,0.37
forkengine4,engine_transport,fork change of sinabolouki/engine.io-client-java,matches_js_client,0.39,would_deviate_from_js,0.35,False,0.02,Routine,0.05
forkengine5,engine_transport,fork change of sirdx/engine.io-client-java,not_applicable,0.99,already_addressed,0.01,False,0.03,Routine,0.02
forkengine6,engine_transport,fork change of FLATPAY-DK/engine.io-client-java,not_applicable,0.43,would_deviate_from_js,0.41,False,0.02,Routine,0.26
forkengine8,engine_transport,fork change of Bandyer/engine.io-client-java,not_applicable,0.44,already_addressed,0.29,False,0.13,Important,0.76
forkjava10,engine_transport,fork change of mtali/socket.io-client-java,already_addressed,0.74,affected_fix_within_js,0.2,True,0.89,Important,1.28
forkjava2,engine_transport,fork change of N1k1tung/socket.io-client-java,would_deviate_from_js,1,affected_fix_within_js,0,False,0.04,Routine,0.03
forkjava8,engine_transport,fork change of phiraphongbenzz/socket.io-client-java,would_deviate_from_js,0.94,already_addressed,0.06,True,0.66,Routine,0.3
java136,engine_transport,App crashes after recieving `connect` event.,not_applicable,0.86,already_addressed,0.14,False,0.03,Routine,0.2
java210,engine_transport,socket transports does't upgrade to websocket problem,already_addressed,0.93,matches_js_client,0.03,True,0.79,Routine,0.08
java211,engine_transport,websocket doesn't work on proxy/some wifi/devices?,not_applicable,0.84,insufficient_evidence,0.11,False,0.04,Important,0.92
java239,engine_transport,Add information about transports,already_addressed,0.97,affected_fix_within_js,0.01,True,0.71,Routine,0.11
java271,engine_transport,Support okhttp 3.0?,not_applicable,0.49,already_addressed,0.32,False,0.03,Routine,0.03
java275,engine_transport,OkHttp connections do not seem to be closed,already_addressed,0.94,insufficient_evidence,0.03,False,0.04,High,1.51
java28,engine_transport,Accessing Engine.IO transport from Socket.IO,matches_js_client,0.58,would_deviate_from_js,0.3,False,0.04,Routine,0.26
java306,engine_transport,Rejected Execution exception,not_applicable,0.81,already_addressed,0.17,False,0.03,Important,0.64
java307,engine_transport,SocketTimeoutException failed to connect to... after 90000ms,not_applicable,0.81,already_addressed,0.19,False,0.06,Routine,0.55
java312,engine_transport,Compression Support?,already_addressed,1,matches_js_client,0,True,0.8,Routine,0.2
java320,engine_transport,Support for Deflate extension,already_addressed,1,matches_js_client,0,True,0.74,Routine,0.06
java321,engine_transport,Support for Deflate extension,already_addressed,0.94,not_applicable,0.05,False,0.07,Routine,0.01
java33,engine_transport,Handshake Data,already_addressed,1,matches_js_client,0,True,0.74,Routine,0.02
java360,engine_transport,Getting error using websocket transport,already_addressed,0.6,not_applicable,0.4,True,0.81,Routine,0.13
java380,engine_transport,socket client did not complete upgrade - transport closed when using aws server,already_addressed,0.41,matches_js_client,0.3,False,0.36,Routine,0.6
java393,engine_transport,forceWebsockets feature,matches_js_client,0.54,already_addressed,0.43,True,0.88,Routine,0.03
java399,engine_transport,engine:socket client did not complete upgrade - transport closed,already_addressed,0.46,matches_js_client,0.3,False,0.24,Important,0.99
java409,engine_transport,Options for inject okhttp Call/WebSocket factory,already_addressed,0.92,not_applicable,0.04,True,0.7,Routine,0.36
java451,engine_transport,Socket.IO - Hibernate mode,already_addressed,0.91,matches_js_client,0.07,True,0.67,Routine,0.45
java471,engine_transport,Exception java.lang.StringIndexOutOfBoundsException: length=1; index=48,already_addressed,0.83,affected_fix_within_js,0.09,False,0.12,High,2.19
java490,engine_transport,"Expected 'Connection' header value 'Upgrade' but was '""null""",matches_js_client,0.55,already_addressed,0.41,False,0.06,Routine,0.43
java493,engine_transport,SocketIO ThreadPoolExecuter error while unit-testing,not_applicable,0.72,already_addressed,0.28,False,0.06,Routine,0.24
java506,engine_transport,"extraHeaders, forceWebsockets and connectParams in java client",already_addressed,1,not_applicable,0,False,0.34,Routine,0.14
java512,engine_transport,Catching the raw data to make socket connection persistent,matches_js_client,0.97,would_deviate_from_js,0.03,False,0.03,Routine,0.01
java514,engine_transport,Socket disconnecting with transport error in android,already_addressed,0.73,insufficient_evidence,0.14,False,0.06,Important,0.7
java516,engine_transport,Cannot use HTTPS with websocket only transport,already_addressed,1,would_deviate_from_js,0,True,0.82,Routine,0.45
java522,engine_transport,Getting too many ClassCastException logs,not_applicable,0.94,already_addressed,0.03,False,0.03,Routine,0.22
java530,engine_transport,Manager.EVENT_TRANSPORT doesn't work,matches_js_client,0.77,not_applicable,0.14,False,0.03,Routine,0.11
java533,engine_transport,Socket can not handle more than one transport type,already_addressed,0.69,matches_js_client,0.25,True,0.92,Routine,0.49
java6,engine_transport,SSLEngine,already_addressed,0.8,matches_js_client,0.1,True,0.69,Routine,0.36
java645,engine_transport,"Constant ""xhr poll error"" when trying to establish a connection",not_applicable,0.94,matches_js_client,0.03,False,0.04,Routine,0.05
java68,engine_transport,WebsocketNotConnectedException,not_applicable,0.9,already_addressed,0.1,False,0.03,Routine,0.14
java72,engine_transport,Java-WebSocketClient loop endless when disconnect,not_applicable,0.94,already_addressed,0.04,False,0.03,Routine,0.01
java734,engine_transport,Cannot Received Socket Manager EVENT_PING On Android Library,already_addressed,0.52,not_applicable,0.18,False,0.13,Important,1.13
java778,engine_transport,Virus alert,not_applicable,1,insufficient_evidence,0,False,0.03,Routine,0.06
java788,engine_transport,WebTransport transport support?,affected_fix_within_js,0.48,already_addressed,0.22,False,0.04,Routine,0.04
java791,engine_transport,Add WebTransport integration to Socket.IO Java client,would_deviate_from_js,0.77,not_applicable,0.09,False,0.03,Routine,0.04
java793,engine_transport,Polling and Websocket have different effect in event callback,already_addressed,0.41,not_applicable,0.37,False,0.23,Routine,0.01
java86,engine_transport,Extra http packets during Ping-Pong?,already_addressed,0.78,matches_js_client,0.21,False,0.49,Routine,0.32
java88,engine_transport,Websocket Upgrade https,already_addressed,0.99,not_applicable,0.01,True,0.9,High,1.62
forkjava11,namespace,fork change of zengbiaobiao/socket.io-client-java,affected_fix_within_js,0.39,would_deviate_from_js,0.31,True,0.71,Important,1.34
forkjava15,namespace,fork change of akashada/socket.io-client-java,would_deviate_from_js,0.85,matches_js_client,0.11,False,0.04,Routine,0.38
java296,namespace,Room support (join & leave),matches_js_client,0.94,already_addressed,0.05,False,0.04,Routine,0.01
java30,namespace,can not receive event by room emit,insufficient_evidence,0.58,matches_js_client,0.18,False,0.06,Routine,0.26
java329,namespace,Leaving a namespace,matches_js_client,0.78,already_addressed,0.19,False,0.13,Routine,0.02
java472,namespace,Joining multiple namespaces on a single client instance.,already_addressed,0.5,matches_js_client,0.44,True,0.54,Routine,0.16
java741,namespace,Client creates a new connection when it reconnects to one of the namespaces.,matches_js_client,0.51,would_deviate_from_js,0.29,False,0.04,Routine,0.73
engine29,other,Change package name,not_applicable,1,matches_js_client,0,False,0.03,Routine,0.09
engine33,other,"socket with channel, xhr poll error",matches_js_client,0.84,would_deviate_from_js,0.08,False,0.03,Routine,0.53
engine5,other,State of a socket,matches_js_client,0.81,would_deviate_from_js,0.15,False,0.07,Routine,0.06
engine55,other,fix close socket exception,would_deviate_from_js,0.6,matches_js_client,0.21,False,0.03,Routine,0.35
engine6,other,IPv6 URL support,already_addressed,1,matches_js_client,0,True,0.94,Routine,0.84
engine61,other,Close the web socket after sending a close frame.,already_addressed,0.89,matches_js_client,0.09,False,0.04,Important,0.96
engine69,other,fixe added onClose,already_addressed,0.43,affected_fix_within_js,0.24,False,0.02,Important,1.23
forkjava26,other,fork change of VicV/socket.io-client.java,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.01
java141,other,Sockets sending no response on Lollipop,not_applicable,0.89,insufficient_evidence,0.08,False,0.02,Routine,0.06
java172,other,The manager will create new connections even when it is in Openning state,already_addressed,0.98,affected_fix_within_js,0.01,False,0.02,Important,0.98
java173,other,[proposal] Merge engine and socket into one library?,matches_js_client,0.51,would_deviate_from_js,0.17,False,0.02,Routine,0.01
java178,other,How to setup the local unit test?,already_addressed,0.45,not_applicable,0.33,False,0.02,Routine,0.09
java19,other,Thank you!,not_applicable,0.44,insufficient_evidence,0.33,False,0.03,Routine,0.01
java217,other,SocketIO stream support,insufficient_evidence,0.6,matches_js_client,0.24,False,0.02,Routine,0.1
java243,other,"Need to be able to listen to all ""other"" events",already_addressed,1,would_deviate_from_js,0,True,0.88,Important,1.23
java254,other,Question: Does this support P2P?,insufficient_evidence,0.5,matches_js_client,0.38,False,0.03,Routine,0.01
java274,other,Support Socket.io 0.9,matches_js_client,0.82,already_addressed,0.13,False,0.03,Routine,0.22
java301,other,Volatile Messages,already_addressed,1,would_deviate_from_js,0,True,0.95,Routine,0.68
java303,other,Socket.onevent event value on args always on index 1 [Bug],already_addressed,0.93,matches_js_client,0.05,False,0.04,Routine,0.36
java305,other,Add missing method.,not_applicable,0.76,already_addressed,0.14,False,0.17,Routine,0.01
java31,other,id and username attributes,already_addressed,0.75,matches_js_client,0.23,True,0.72,Routine,0.03
java412,other,Implementing mySocket.sendBuffer,already_addressed,0.46,would_deviate_from_js,0.34,False,0.06,Routine,0.2
java436,other,make compatible with socket.io-client 1.7.4 (node client),already_addressed,0.85,not_applicable,0.11,True,0.73,Routine,0.12
java437,other,How to get progress update when emit,matches_js_client,0.92,would_deviate_from_js,0.07,False,0.03,Routine,0.01
java449,other,Emoji's are not working,already_addressed,0.94,not_applicable,0.03,True,0.69,High,1.57
java470,other,arabic not work in v 1.0.0 but work fine in v 0.8.3,insufficient_evidence,0.95,not_applicable,0.05,False,0.03,Routine,0.1
java531,other,Copyright statement missing,already_addressed,0.84,not_applicable,0.07,False,0.02,Routine,0.04
java559,other,Emitter is called multiple times,already_addressed,0.68,insufficient_evidence,0.2,True,0.55,Important,0.98
java587,other,Confusing README.md,already_addressed,0.66,affected_fix_within_js,0.17,True,0.69,Routine,0.17
java598,other,maven support?,not_applicable,0.78,already_addressed,0.13,False,0.03,Routine,0.14
java604,other,"There is no ""on"" method in socket object",already_addressed,0.98,not_applicable,0.02,True,0.68,Routine,0.1
java607,other,Ktx support,already_addressed,1,insufficient_evidence,0,True,0.74,Routine,0.01
java61,other,Change Log,already_addressed,0.53,not_applicable,0.32,False,0.03,Routine,0.02
java649,other,Document version 1.x.x,not_applicable,0.92,matches_js_client,0.04,False,0.03,Routine,0.05
java681,other,update to 2.0.1,already_addressed,0.97,not_applicable,0.02,True,0.92,Routine,0.89
java70,other,Eclipse instructions?,not_applicable,0.63,matches_js_client,0.35,False,0.02,Routine,0
java728,other,Official Support for Kotlin Client,already_addressed,0.83,not_applicable,0.12,False,0.06,Routine,0.13
java748,other,issue #727 sovled,already_addressed,0.97,not_applicable,0.02,True,0.71,Routine,1
java750,other,sendBuffer should be accessible,would_deviate_from_js,0.9,matches_js_client,0.07,False,0.08,Important,0.72
java9,other,isConnected on Socket,already_addressed,1,not_applicable,0,True,0.94,Routine,0.02
engine117,parser_binary,use jdk 1.8 base64 for engine.io server 6.x.x,already_addressed,0.96,matches_js_client,0.02,True,0.92,Important,0.83
engine124,parser_binary,Change HashMap to LinkedHashMap in decode method,already_addressed,0.64,would_deviate_from_js,0.24,False,0.26,Routine,0.13
engine93,parser_binary,Update to make compatible with engine.io v3,would_deviate_from_js,0.6,matches_js_client,0.25,False,0.3,Routine,0.34
forkengine13,parser_binary,fork change of keikai/engine.io-client-java,not_applicable,0.97,insufficient_evidence,0.03,False,0.03,Routine,0.18
forkengine20,parser_binary,fork change of mottx/engine.io-client.java,would_deviate_from_js,0.98,matches_js_client,0.01,False,0.04,Routine,0.33
forkengine7,parser_binary,fork change of dreamershl/engine.io-client-java,already_addressed,0.8,not_applicable,0.08,True,0.89,Routine,0.74
forkjava1,parser_binary,fork change of ParadiseDevTeam/socket.io-client-java,already_addressed,0.86,would_deviate_from_js,0.04,True,0.82,High,1.5
forkjava12,parser_binary,fork change of sudeshim3/socket.io-client-java,matches_js_client,0.34,already_addressed,0.34,False,0.04,Routine,0.01
forkjava14,parser_binary,fork change of comroid-git/socket.io-client-java,not_applicable,0.83,already_addressed,0.07,False,0.04,Routine,0.03
forkjava18,parser_binary,fork change of Bandyer/socket.io-client-java,already_addressed,0.4,not_applicable,0.27,False,0.47,Routine,0.43
forkjava21,parser_binary,fork change of keikai/socket.io-client-java,not_applicable,0.96,matches_js_client,0.02,False,0.04,Routine,0.09
forkjava22,parser_binary,fork change of kccheung/socket.io-client-java,already_addressed,0.93,matches_js_client,0.03,True,0.88,Routine,0.85
forkjava23,parser_binary,fork change of AmityApp/socket.io-client-java,would_deviate_from_js,0.55,matches_js_client,0.32,False,0.04,Routine,0.03
forkjava9,parser_binary,fork change of FLATPAY-DK/socket.io-client-java,not_applicable,0.76,matches_js_client,0.1,False,0.03,Routine,0.05
